Y,X1,X2,X3,X4,X5,YEAR,STATES
0,0,32967.37181,68762.37475,31488.52918,15499.92926,2019,ABIA
0,0,48369.06408,89139.25072,36877.83854,15921.22618,2020,ABIA
0,0,39512.62077,95212.68753,42289.20611,19578.33159,2021,ABIA
0,0,59350.76252,103710.0111,42289.20611,20108.23206,2022,ABIA
0,0,125920,138638.0074,89053.9393,20108.23206,2023,ABIA
0,0,41087.80877,102412.6011,35455.9256,9704.650185,2019,ADAMAWA
0,0,47943.88887,98900.40345,41689.15571,8329.870707,2020,ADAMAWA
0,0,44384.02381,99546.92554,46920.36005,13011.61123,2021,ADAMAWA
0,0,58834.04116,124000.5739,46920.36005,13175.77497,2022,ADAMAWA
0,0,139140,138261.0107,103196.8819,13175.77497,2023,ADAMAWA
1,0,55457.50966,237341.0787,15640.12142,35504.93636,2019,AKWA IBOM
1,0,146265.8713,230807.3374,18259.88328,30696.77028,2020,AKWA-IBOM
1,0,90104.1838,214608.9011,20115.81697,31396.51209,2021,AKWA-IBOM
1,0,277044.3546,219265.3197,20115.81697,34812.38102,2022,AKWA-IBOM
1,0,380100,190476.3454,42611.4003,34812.38102,2023,AKWA-IBOM
0,0,42304.66144,33917.44202,35235.02886,26369.19586,2019,ANAMBRA
0,0,50916.56533,59976.31842,41181.07739,28009.90658,2020,ANAMBRA
0,0,47006.53848,55715.8717,46570.44691,30916.67461,2021,ANAMBRA
0,0,70026.62435,77487.68335,46570.44691,33971.39316,2022,ANAMBRA
0,0,161540,74196.57779,107242.7469,33971.39316,2023,ANAMBRA
1,0,46724.84622,101423.8648,43649.91375,12293.31894,2019,BAUCHI
1,0,49144.34995,102817.6673,51400.92154,13039.29481,2020,BAUCHI
1,0,49448.34128,97512.50509,74360.38932,17902.44797,2021,BAUCHI
1,0,63842.07496,143638.0752,74360.38932,25471.11911,2022,BAUCHI
1,0,144980,160808.0887,187634.6421,25471.11911,2023,BAUCHI
0,0,18993.58577,147929.5247,19413.63292,16342.76253,2019,BAYELSA
0,0,116401.4654,144128.5062,23992.25045,12180.77514,2020,BAYELSA
0,0,66416.64997,154610.7144,27090.05365,13273.9923,2021,BAYELSA
